object,min_time,max_time,min_flux,max_flux,error1,masked_error1,error2,masked_error2,error3,masked_error3,mean,combined_amplitude,amplitude1,frequency1,hshift1,amplitude2,frequency2,hshift2,amplitude3,frequency3,hshift3,normalized_error1,normalized_masked_error1,normalized_error2,normalized_masked_error2,normalized_error3,normalized_masked_error3,normalized_mean,normalized_combined_amplitude,normalized_amplitude1,normalized_frequency1,normalized_hshift1,normalized_amplitude2,normalized_frequency2,normalized_hshift2,normalized_amplitude3,normalized_frequency3,normalized_hshift3
1,120.5391194434851,130.24538621143438,405896.66,406442.72,15.391910527308228,226.8543149627058,16.74868781992037,294.1511381821238,17.58989524160206,357.862904930067,406171.16015625,85.80519037851461,60.11011189263539,2.0590375087508983,3.051515710848434,43.84470727275943,1.3726916725005986,4.577273566272652,42.742798087093284,2.7453833450011973,2.288636783136326,14.460121173248346,0.3673049164384332,16.050799070669424,0.4912500571018068,16.661220101760637,0.5913040096319643,0.5026922980075931,0.15713509573767528,0.11007968335464169,19.985567345149903,0.3143861366890037,0.0802928382828986,13.32371156343327,0.47157920503350553,0.07827491134141572,26.64742312686654,0.23578960251675277
2,120.53881583872862,130.08165080194885,1034362.06,1035376.6,29.95529678922596,1580.6920204567507,31.621645922633025,1692.3139093880063,32.43429642434323,1721.97296951297,1034854.5413882353,304.9390542102967,279.8248543877102,0.7234863150465088,8.684594547964153,110.99385757813052,1.4469726300930177,4.342297273982076,48.644025630006205,2.1704589451395266,2.8948648493213844,21.844556081403805,0.9052413125027948,22.658608003384536,0.9628623261924231,23.31292884271961,0.9867145510658436,0.48542333297383866,0.30056878408965687,0.27581451139209107,6.904110502637191,0.9100644181143352,0.10940313598097581,13.808221005274381,0.4550322090571676,0.047946878023547614,20.712331507911575,0.30335480603811177
3,120.88585944543593,130.24480337148998,2921479.8,2925307.0,14.144877627309816,1641.7415355507374,15.6957173811116,2907.428560533319,16.843420967789964,3370.7938369812314,2924080.3063205415,795.763760308363,542.2470037511212,2.0822758521931957,3.017460583121926,439.6075134653376,0.6940919507310652,9.052381749365779,382.0384578126401,2.776367802924261,2.2630954373414447,20.12377520914485,0.7118527498604204,19.019745941344233,0.6924167299241664,20.952766300162715,0.826750061678288,0.6794801213790315,0.20792322332470847,0.14168243200018152,19.487902939252535,0.3224146449602842,0.11486400330929039,6.495967646417512,0.9672439348808527,0.09982192146023766,25.983870585670047,0.24181098372021317
4,120.53915513019456,130.2454049922526,176262.08,176354.89,21.042046724033376,57.89759453818257,21.017032806927254,59.47608294511694,21.28205176328123,60.47829434706598,176302.15393103447,13.828489128320333,12.659268096169185,0.7068585271033287,8.888886624778749,4.13920932220139,2.827434108413315,2.2222216561946873,3.7198103484435543,1.4137170542066575,4.4444433123893745,18.223381655704323,0.5844212986971563,18.642214477579632,0.6550568671782058,19.123055219645867,0.7102609921779306,0.43178462487322183,0.14899783566766883,0.13639982864093883,6.860945481191227,0.9157900065529558,0.044598742831593534,27.44378192476491,0.22894750163823896,0.04007984428878872,13.721890962382455,0.4578950032764779
5,120.53845491752872,130.2448452070821,69902.83,70112.06,16.511088687805444,168.83279274904413,16.30481410327973,170.30629696709508,16.914330705108267,178.03887204199395,69958.74083295194,38.463700618049245,34.833025235531004,2.110841643567765,2.976625615818193,13.34470755749929,2.81445552475702,2.232469211863645,9.382718069973317,5.62891104951404,1.1162346059318224,13.612554622341658,0.6568300590905057,13.822257224944584,0.7261002482983769,14.562947003590226,0.8014503048472188,0.26722187521839347,0.18383453911030917,0.16648198267710976,20.488652831911057,0.3066665904648221,0.06378008678248602,27.31820377588141,0.22999994284861658,0.04484403799633656,54.63640755176282,0.11499997142430829
6,120.53852787297365,130.24485098180594,74030.87,74214.73,22.561024945023483,184.78968982416123,23.434688429280275,205.38446678755636,23.75745257886846,211.0449949497254,74101.77081179139,54.638669615320026,50.490268635797904,2.09171008867029,3.003850935754599,15.288264760977382,4.18342017734058,1.5019254678772995,14.22624163352063,2.78894678489372,2.2528882018159493,26.565633490967706,1.2945865134473782,27.16606241901827,1.4039180390860992,28.346194016046827,1.5767340797437348,0.385623908361729,0.2971754031073635,0.2746125782432163,20.30281397063808,0.30947361859623623,0.08315166300977556,40.60562794127616,0.15473680929811812,0.07737540320635583,27.070418627517444,0.23210521394717715
7,120.53935056893532,130.24573420896195,108241.07,108511.68,11.635800422481319,84.8262288962469,12.268823687940507,112.23235664837317,12.104276800333338,106.3170463690045,108344.09321945702,59.58652699899488,53.785106513472016,1.391308252277914,4.516026766097639,20.921726086332413,4.173924756833743,1.5053422553658795,14.832326004537983,4.869578882972699,1.2902933617421826,22.77746291339151,1.038580666520365,23.878814703597204,1.1209067265947261,24.27415156957668,1.2026005433090419,0.3807073628358596,0.22019336683418186,0.1987550589907054,13.504571658144389,0.46526357638232074,0.07731320382222939,40.51371497443317,0.15508785879410691,0.05481070915538505,47.266000803505364,0.13293245039494878
8,120.5397940620678,130.24611752841156,49759.3,49851.746,8.300743191297952,14.081466326485987,8.335794830833697,19.393611807531812,8.485884289384462,22.088268059341395,49779.944778280544,5.062125312153219,3.3372730355040177,0.6956580536311263,9.032002539729461,2.9489600849188276,2.0869741608933787,3.0106675132431535,2.406523588082125,1.3913161072622526,4.516001269864731,9.026208029008858,0.14159754341595143,9.398731233441293,0.1874158231087758,9.366060252302088,0.22751324205532983,0.22331716115939015,0.05475764567589104,0.036099701831384286,6.752282090510828,0.9305276679731025,0.031899271844308526,20.256846271532485,0.31017588932436746,0.026031668088205253,13.504564181021657,0.46526383398655125
9,131.5130129692552,164.9844477869192,39371.547,39712.676,22.09549992123358,267.3646976348204,19.73903518080253,271.16969125561377,20.354948091753634,283.3704305337415,39556.40222860875,104.56060088111944,76.71871877759897,0.8033387633854658,7.8213396309929175,65.57195082342182,0.4016693816927329,15.642679261985835,27.340020317388003,0.20083469084636646,31.28535852397167,21.146280191632023,0.7298150635818126,23.808105043438868,1.0748667274921526,24.720010288608805,1.1719419738122512,0.5418924471644255,0.3065133743572643,0.22489650184416693,26.888901055159426,0.23367207511717822,0.19222039411314093,13.444450527579713,0.46734415023435644,0.08014569361557634,6.7222252637898565,0.9346883004687129
10,120.5391465105713,130.24539527622983,501461.62,501746.75,28.19232123305338,369.986801538954,28.931063559984892,385.173322715225,30.423191363475354,439.1198321098526,501603.1672259508,88.6562704128938,86.93017987840015,0.0764314357045609,82.20682039084932,13.36471034573437,1.6814915855003398,3.7366736541295147,11.156281961646696,0.1528628714091218,41.10341019542466,25.542445035616467,0.9170480044835374,26.05178294101837,0.9249716383091021,24.96641252261028,0.7825887261158948,0.49643049118222043,0.31093280402936324,0.3048791073489241,0.7418625284649034,8.469473879724113,0.04687234014566742,16.320975626227874,0.3849760854420052,0.03912700158400208,1.4837250569298068,4.2347369398620565
