object,min_time,max_time,min_flux,max_flux,linearfunc_error,linearfunc_slope,linearfunc_intercept,sinfunc_error,sinfunc_mean,sinfunc_amplitude,sinfunc_frequency,sinfunc_h_shift,skewsin_error,skewsin_mean,skewsin_amplitude,skewsin_frequency,skewsin_h_shift,twotrigs_error,twotrigs_mean,twotrigs_amplitude1,twotrigs_frequency1,twotrigs_hshift1,twotrigs_amplitude2,twotrigs_frequency2,twotrigs_hshift2,threetrigs_error,threetrigs_mean,threetrigs_amplitude1,threetrigs_frequency1,threetrigs_hshift1,threetrigs_amplitude2,threetrigs_frequency2,threetrigs_hshift2,threetrigs_amplitude3,threetrigs_frequency3,threetrigs_hshift3
1,120.5391194434851,130.24538621143438,405896.66,406442.72,12.303893749677687,13.489363744300281,404480.0768335862,10.212838779539931,406174.37172155135,78.04168806310653,1.7591107410094275,36.583671120797064,11.72245086757014,406169.69319442,-40.64017310848376,2.0643076025238614,-0.02663101025537261,9.374182447658033,741809.8226219431,74.3491506027214,1.6923646730779172,44.81283073982961,-335669.1833415636,0.002769713500422192,38.935029569128986,6.855533715323799,405967.42496662587,-59.716410400193105,1.5809305238011593,42.857937498885136,-34041621.30748501,0.3281292915749662,0.16594295543765963,34041372.219565384,0.3281323101106378,0.165561980347145
2,120.53881583872862,130.08165080194885,1034362.06,1035376.6,7.079224078398423,-77.1746422619525,1044526.3175558738,5.871679351565832,1034842.3535921446,285.7196495278371,0.4248260715879233,37.77248554281941,10.42249804744974,1034854.8318861155,270.61708588949045,0.7101621361095289,0.5241942090722599,5.557586153627741,52032.28507127084,615020.1387220771,0.07613198573844202,83.03194154132088,1597695.1523145232,0.04704276692396365,8.17850914679011,5.581965453438345,1029712.675149438,675.256916240397,0.4074175730976348,41.12960935044454,-80033115.34226088,0.11514629148260162,4.625937796982834e-05,80038562.5912436,0.11514655513797244,-9.001708582273695e-06
3,120.88585944543593,130.24480337148998,2921479.8,2925307.0,15.03431367257665,-7.643319496050786,2925039.682997903,10.370967861999153,2924062.7977604647,-703.3204976432786,1.7717388720660736,38.4582513013457,13.020771452402624,2924081.046786815,483.2296741097456,2.0587822115953665,4.183930734722377,5.769124020421785,2923976.1558348923,76091.7195682292,1.326584642526259,91.43486094697306,76021.62265915913,1.3222860489821149,-124.79030150954895,10.883881915579737,2921636.2015366233,-632.5202704642145,-0.519853662313179,318.9585770207541,393053525.0472642,0.3314128990653928,-0.1477245953263241,-393056169.56597745,0.3314110246460322,-0.1474855245139994
4,120.53915513019456,130.2454049922526,176262.08,176354.89,14.471666022981863,3.2217945454144314,175898.5587303065,14.002472201394085,176304.12441726815,13.152872738626003,0.46729132861021705,28.97545893687114,14.762413365228447,176301.77250440352,-12.123515236923254,0.7186025355549849,-0.8462337008147063,13.962265539686857,176059.61880828554,38.620133911748084,0.45231409311623116,30.03381121975556,-274.070035455303,0.13045475165501547,0.9333878097598215,13.959718807342941,176205.09448052166,15.107011485434011,0.5948632792842541,12.282441086887074,-13097317.425886707,0.11249993403865978,6.528455040319108e-06,13097423.550007524,0.11250012327116415,-1.8041182797289792e-05
5,120.53845491752872,130.2448452070821,69902.83,70112.06,12.726554359205114,2.745825931024512,69614.75182749325,6.243556849771119,69962.64435526049,40.72320706637148,1.7882781950618964,45.26407612482393,10.623931427384466,69957.64725934684,-23.114631470836894,2.1072746984357473,0.26830094735875254,6.004393751494421,165094.3043041592,41.313863724607735,1.7539350339008966,49.53637705914048,-95139.14961324687,-0.004562769876094521,46.12233536634217,11.245177490144222,69698.5389506318,-14.099086836680065,2.8074610236904385,-83.03579950083939,-7520577.917377453,0.33560956446882445,0.002896488899791639,7520330.178269152,0.33561702441611185,0.001954384132990457
6,120.53852787297365,130.24485098180594,74030.87,74214.73,20.20813632933095,-2.2211568184705803,74380.27445569602,9.884641443920101,74104.79324655405,-54.667270596062494,2.0227992680957425,9.77598736367019,9.745246531411658,74105.47986305568,-54.62932835146097,2.095874282195857,-0.9510741852599774,9.734207810654445,76341.0811568447,-55.63103352127375,2.0263939301765275,9.308879732695859,2240.9657154263737,0.022976066288351842,39.53892802121376,9.747912606469418,74112.35594979774,-55.55124395241847,2.026664319530479,9.277890772646579,-7568690.107063052,0.332957378398402,-6.399588679388667e-08,7568698.627724663,0.33295738698171595,6.399584124721132e-08
7,120.53935056893532,130.24573420896195,108241.07,108511.68,16.189365537613764,4.669175601979758,107758.95512747507,10.630605857693592,108345.03842748395,-56.19500163906993,1.314033785752731,10.790053987158773,10.604581434661084,108344.46238117054,-56.560846401156496,1.3964383528028559,-1.1382124635075408,10.571063803002604,94572.51933999223,-56.805927871052745,1.3186953380956141,10.189166948729689,13775.335351662432,0.007295394481768701,32.07290500745792,15.888677725110359,108516.37926386301,-5.32303754641322,-19.055710965159907,2568.6701578304073,-12136981.547080169,0.22146233569576013,0.033863302799297806,12136765.486101395,0.22146585243908043,0.033429320463784766
8,120.5397940620678,130.24611752841156,49759.3,49851.746,8.506207419249085,-0.1700077963745396,49801.2652703622,8.183950804890479,49780.77864824285,-4.234499611284375,0.9394701192843438,-31.034681437046427,8.248443739191497,49780.06641080213,3.817062654706297,0.6826067281342412,2.893075650544098,8.145679448983032,49858.80361392908,-9.626316372254065,0.6959308840414185,-0.6086689432627816,-83.6913494402192,0.12976142590183606,-2.1123133229537983,8.148031631839753,49880.64601489505,-12.031894650227198,0.6445651870126586,5.802970424611203,3801349.1686760057,0.11071708507185288,9.420703746207743e-05,-3801451.470990967,0.11071775078876618,2.010557485032121e-05
9,131.5130129692552,164.9844477869192,39371.547,39712.676,17.42122141311462,-0.6930188600903007,39658.7072636184,15.206322642219455,39553.35451934111,72.59716661609453,0.7796902819585741,3.6540937156335334,14.947374780065967,39555.183532005125,67.11134020394258,0.8137883746407029,-3.0219182546569923,13.459943710880125,39555.559429759196,4561.046742067533,0.7284069711145816,10.588572473452068,4518.950531414804,0.7272642461927808,-86.64353872253182,6.280423761649748,39548.3693504146,72.32474335726359,0.772269059000008,4.824701439405419,-2085615.0241243632,0.3167106192073961,-29.392243430455306,2085671.53678396,0.31671215824824617,-29.392449480429487
10,120.5391465105713,130.24539527622983,501461.62,501746.75,19.93476334511457,9.352440447183191,500429.0379395021,9.965853882718797,501590.88227178814,-93.19744004116123,0.5844838907765331,-62.823445447820674,10.964796181871058,396499.53157903603,127531.96747597045,0.01700094757153874,10.737420900370006,9.647140680423934,501564.9554504429,-111.55329611241497,0.4703610219130808,-48.3914108571337,13.796787047728994,-1.082117109601942,-87.28902082128724,9.783828963183993,502351.02341435076,-117.77318095633353,0.5040562779911345,-52.85325809214484,-915.6037679226093,-0.01601843455245871,4.1436042416378775,-3.7043845220294243,0.016767596615195363,-0.9465865094126423
