time,flux,object
124.56466699318844,406120.38,1
124.58510114383536,406101.8,1
124.60553549436008,406117.75,1
124.62596974500777,406073.6,1
124.64640399553171,406143.16,1
124.66683814606222,406153.7,1
124.68727249647782,406174.38,1
124.70770674689264,406085.22,1
124.72814089729944,406143.3,1
124.74857524759864,406127.16,1
124.76900949788978,406115.75,1
124.78944364818744,406153.8,1
124.80987789836944,406181.5,1
124.83031224855222,406152.6,1
124.8507463987262,406133.62,1
124.87118064879178,406164.0,1
124.89161489885736,406143.25,1
124.91204924880005,406185.0,1
124.93248339886486,406143.8,1
124.95291764881404,406237.72,1
124.97335199864028,406118.1,1
124.99378614847228,406130.38,1
125.01422039830504,406148.53,1
125.03465454812977,406178.8,1
125.05508889784689,406174.34,1
125.09595739715589,406180.47,1
125.1163916467558,406124.44,1
125.13682589635572,406179.25,1
125.15726014583196,406176.1,1
125.17769429531472,406176.03,1
125.27986564213644,406077.9,1
125.30029979138637,406060.22,1
125.32073404063703,406186.06,1
125.3411683897648,406133.8,1
125.3616025388983,406170.0,1
125.38203678791616,406070.1,1
125.40247113692747,406117.03,1
125.42290538594534,406076.16,1
125.44333953484602,406081.38,1
125.46377378374018,406083.84,1
125.48420813264238,406089.12,1
125.50464228142664,406165.2,1
125.5250765302044,406051.2,1
125.54551087899016,406124.4,1
125.56594502765802,406111.75,1
125.58637927631936,406117.94,1
125.60681352487154,406198.6,1
125.62724777342372,406155.44,1
125.6476821219694,406097.16,1
125.66811627052084,406216.38,1
125.68855061884096,406097.56,1
125.70898486726946,406124.6,1
125.72941901558806,406131.12,1
125.74985326390744,406176.53,1
125.77028761222029,406165.0,1
125.79072176042246,406166.78,1
125.8111560086254,406121.03,1
125.83159035670542,406167.78,1
125.8520245047912,406140.66,1
125.87245875287772,406164.25,1
125.89289300084056,406178.62,1
125.91332724881067,406161.72,1
125.93376149666436,406141.25,1
125.9541957445108,406073.28,1
125.97463009236526,406172.9,1
125.99506424010178,406112.0,1
126.0154984878318,406062.62,1
126.03593263556832,406134.1,1
126.05636698318996,406135.0,1
126.07680123080354,406110.2,1
126.09723537842363,406097.3,1
126.11766972592886,406106.22,1
126.13810397330964,406075.4,1
126.15853822081408,406113.56,1
126.17897236820136,406080.4,1
126.19940671546648,406042.75,1
126.21984096273808,406072.34,1
126.24027511000897,406094.03,1
126.28114370431284,406129.97,1
126.3015778514673,406160.47,1
126.32201209849882,406239.4,1
126.34244644553836,406110.94,1
126.36288059246,406179.44,1
126.3833148394915,406188.3,1
126.40374918629824,406186.66,1
126.4241834331042,406176.5,1
126.44461757990211,406082.06,1
126.46505182670808,406146.22,1
126.4854861733984,406118.1,1
126.5059203200799,406148.7,1
126.52635456665304,406104.38,1
126.5467887132254,406191.84,1
126.5672230596756,406107.56,1
126.58765730613231,406109.56,1
126.60809155258904,406131.72,1
126.62852579903848,406201.44,1
126.64896004526236,406164.25,1
126.66939429160266,406207.44,1
126.68982843782578,406172.75,1
126.71026278404317,406143.66,1
126.73069703015062,406196.53,1
126.75113117625006,406268.38,1
126.77156552235827,406207.75,1
126.79199976834934,406247.56,1
126.81243391422322,406172.4,1
126.832868160207,406256.4,1
126.8533025060824,406244.1,1
126.8737366518326,406217.03,1
126.8941708975908,406228.44,1
126.9146052433498,406236.22,1
126.93503948898432,406228.44,1
126.95547363462538,406286.03,1
