object,min_time,max_time,min_flux,max_flux,linearfunc_error,linearfunc_maskederror,linearfunc_amplitude,linearfunc_intercept,linearfunc_slope,linearfunc_nomalized_error,linearfunc_nomalized_maskederror,linearfunc_nomalized_amplitude,linearfunc_nomalized_intercept,linearfunc_nomalized_slope,sinfunc_error,sinfunc_maskederror,sinfunc_amplitude,sinfunc_frequency,sinfunc_hshift,sinfunc_mean,sinfunc_nomalized_error,sinfunc_nomalized_maskederror,sinfunc_nomalized_amplitude,sinfunc_nomalized_frequency,sinfunc_nomalized_hshift,sinfunc_nomalized_mean,skewsin_error,skewsin_maskederror,skewsin_amplitude,skewsin_frequency,skewsin_hshift,skewsin_mean,skewsin_nomalized_error,skewsin_nomalized_maskederror,skewsin_nomalized_amplitude,skewsin_nomalized_frequency,skewsin_nomalized_hshift,skewsin_nomalized_mean,twotrigs_error,twotrigs_masked_error,twotrigs_mean,twotrigs_combined_amplitude,twotrigs_amplitude1,twotrigs_frequency1,twotrigs_hshift1,twotrigs_amplitude2,twotrigs_frequency2,twotrigs_hshift2,twotrigs_nomalized_error,twotrigs_nomalized_masked_error,twotrigs_nomalized_mean,twotrigs_nomalized_combined_amplitude,twotrigs_nomalized_amplitude1,twotrigs_nomalized_frequency1,twotrigs_nomalized_hshift1,twotrigs_nomalized_amplitude2,twotrigs_nomalized_frequency2,twotrigs_nomalized_hshift2,threetrigs_error,threetrigs_masked_error,threetrigs_mean,threetrigs_combined_amplitude,threetrigs_amplitude1,threetrigs_frequency1,threetrigs_hshift1,threetrigs_amplitude2,threetrigs_frequency2,threetrigs_hshift2,threetrigs_amplitude3,threetrigs_frequency3,threetrigs_hshift3,threetrigs_nomalized_error,threetrigs_nomalized_masked_error,threetrigs_nomalized_mean,threetrigs_nomalized_combined_amplitude,threetrigs_nomalized_amplitude1,threetrigs_nomalized_frequency1,threetrigs_nomalized_hshift1,threetrigs_nomalized_amplitude2,threetrigs_nomalized_frequency2,threetrigs_nomalized_hshift2,threetrigs_nomalized_amplitude3,threetrigs_nomalized_frequency3,threetrigs_nomalized_hshift3
1,120.5391194434851,130.24538621143438,405896.66,406442.72,67.18664220948969,17.06185760153883,406237.0042242091,404480.0768335862,13.489363744300281,0.12303893749677612,37.294693667537054,0.6232725784879908,0.38349789615989116,0.23977468232809962,10.212838779539931,17.204191186361292,406174.37172155135,78.04168806310653,1.7591107410094275,36.583671120797064,10.212757381104469,0.031505615934086434,0.5085731475673371,0.14291747992518128,17.0746349947966,0.4393770068101682,11.72245086757014,13.995588517613722,406169.69319442,40.64017310848376,2.0643076025238614,0.02663101025537261,10.144836457855048,0.032733689490311565,0.5081539010239445,0.1421086644593437,17.269907757927175,1.8699815524989167,9.374182447658033,0.02908200968572848,741809.8226219431,741809.8249973002,741809.8226219431,74.3491506027214,1.6923646730779172,44.81283073982961,-335669.1833415636,0.002769713500422192,,,,,,,,,,,6.855533715323799,0.027607656038438618,405967.42496662587,405967.42722894746,405967.42496662587,-59.716410400193105,1.5809305238011593,42.857937498885136,-34041621.30748501,0.3281292915749662,0.16594295543765963,34041372.219565384,0.3281323101106378,,,,,,,,,,,,,
2,120.53881583872862,130.08165080194885,1034362.06,1035376.6,71.82155996497775,8.58797848415392,1035223.7775648405,1044526.3175558738,-77.1746422619525,0.0707922407839859,10.084347983556434,0.8493677576443789,0.8493677576443789,-0.7259101410012729,5.871679351565832,9.238111657770363,1034842.3535921446,285.7196495278371,0.4248260715879233,37.77248554281941,5.8716791141899725,0.009105713580978912,0.4734101817357902,0.2816247327062806,4.054048807075747,1.015920574176581,10.42249804744974,25.782591455542327,1034854.8318861155,270.61708588949045,0.7101621361095289,0.5241942090722599,6.410358624450854,0.01025142113642372,0.49620507496983257,0.2810717075410499,4.513214259243238,5.624936019920434,,,,,,,,,,,,,,,,,,,,,5.581965453438345,0.028114080998007177,1029712.675149438,1029712.6759708539,1029712.675149438,675.256916240397,0.4074175730976348,41.12960935044454,-80033115.34226088,0.11514629148260162,4.625937796982834e-05,80038562.5912436,0.11514655513797244,,,,,,,,,,,,,
3,120.88585944543593,130.24480337148998,2921479.8,2925307.0,575.3932528768815,175.55060465670783,2924115.7137516066,2925039.682997903,-7.643319496050786,0.15034313672576266,49.44129172013621,0.6887316449642464,0.6887316449642464,-0.01869079185107948,10.370967861999153,120.28965614224892,2924062.7977604647,703.3204976432786,1.7717388720660736,38.4582513013457,10.370973842968835,0.03143021240515615,0.6749053541931038,0.18376897101880035,16.581597703144865,1.3090181022864305,13.020771452402624,158.34837738268362,2924081.046786815,483.2296741097456,2.0587822115953665,4.183930734722377,10.743672943874612,0.032676860494361866,0.676013193466446,0.17933143430803217,16.397366533799637,2.886071269339306,5.769124020421785,0.16351269269894744,2923976.1558348923,2923976.159927428,2923976.1558348923,76091.7195682292,1.326584642526259,91.43486094697306,76021.62265915913,1.3222860489821149,,,,,,,,,,,10.883881915579737,0.4563037921668844,2921636.2015366233,2921636.2189471787,2921636.2015366233,-632.5202704642145,-0.519853662313179,318.9585770207541,393053525.0472642,0.3314128990653928,-0.1477245953263241,-393056169.56597745,0.3314110246460322,,,,,,,,,,,,,
4,120.53915513019456,130.2454049922526,176262.08,176354.89,13.431153235933342,1.5467162352953026,176318.18266567585,175898.5587303065,3.2217945454144314,0.14471666022981927,49.23491547184143,0.6044894480751097,0.2675479238643661,0.3369415242107437,14.002472201394085,4.467990682846945,176304.12441726815,13.152872738626003,0.46729132861021705,28.97545893687114,14.002487401563654,0.048141627301568096,0.45301334018003603,0.14171607446588172,4.535760598951474,0.47932254448785944,14.762413365228447,3.819513166242582,176301.77250440352,12.123515236923254,0.7186025355549849,0.8462337008147063,13.970759029173838,0.046904433848132185,0.4368965704986396,0.13681772227218647,5.286046838689722,1.821266599221768,13.962265539686857,0.007276177990162765,176059.61880828554,176059.62137247666,176059.61880828554,38.620133911748084,0.45231409311623116,30.03381121975556,-274.070035455303,0.13045475165501547,13.95214760549501,0.0318953603073256,0.4563581649441694,4.661622544330855,0.4563581649441694,-0.027298956278457995,11.644656658562859,-3.918772594844116,0.14394056772553984,4.167257343298774,13.959718807342941,0.007270564584306517,176205.09448052166,176205.0949085977,176205.09448052166,15.107011485434011,0.5948632792842541,12.282441086887074,-13097317.425886707,0.11249993403865978,6.528455040319108e-06,13097423.550007524,0.11250012327116415,13.955570406321115,0.03479168349180884,4.273291080159936,4.273437840578024,4.273291080159936,0.037613463727199176,10.04973297508986,-0.005174554215551861,-129.62458816247673,0.9608113401233807,-0.003396020030904373,125.26481360700276,0.9904828124868083
5,120.53845491752872,130.2448452070821,69902.83,70112.06,26.62776968576434,14.842492645737883,69972.38150084513,69614.75182749325,2.745825931024512,0.12726554359205794,57.18682286534729,0.3324164835116471,0.20503485490341367,0.12738162860823346,6.243556849771119,2.477674295948975,69962.64435526049,40.72320706637148,1.7882781950618964,45.26407612482393,6.243555000976544,0.011841859235781273,0.2858785277822906,0.19463381556557607,17.357722326226416,3.2097699162216755,10.623931427384466,6.724104593847718,69957.64725934684,23.114631470836894,2.1072746984357473,0.26830094735875254,6.41044891885423,0.012941875280854238,0.28567811755030526,0.19378401896137928,17.63606940193487,1.5106816447784799,,,,,,,,,,,5.962186798398126,0.007284052355794236,0.2801256139342825,4.456462301026013,0.2801256139342825,0.1944752225370951,17.31171084955893,3.1916012356458805,0.04309182602302168,-8.152302496644689,11.245177490144222,0.06071768312572304,69698.5389506318,69698.58841322936,69698.5389506318,-14.099086836680065,2.8074610236904385,-83.03579950083939,-7520577.917377453,0.33560956446882445,0.002896488899791639,7520330.178269152,0.33561702441611185,,,,,,,,,,,,,
6,120.53852787297365,130.24485098180594,74030.87,74214.73,37.15467945510801,25.254525946340735,74112.53948262257,74380.27445569602,-2.2211568184705803,0.20208136329330414,116.9006749755604,0.4441938574054175,0.4441938574054175,-0.1172591414960368,9.884641443920101,4.216914423016555,74104.79324655405,54.667270596062494,2.0227992680957425,9.77598736367019,9.884640471343278,0.022935470947521703,0.4020626735366719,0.2973310531647466,19.633938720798046,0.8677693646679642,9.745246531411658,4.001837428285114,74105.47986305568,54.62932835146097,2.095874282195857,0.9510741852599774,10.575114117324928,0.026062510311823488,0.39705338994658174,0.2835136261555475,19.919977464762255,0.586813552277168,9.734207810654445,0.033379317522164983,76341.0811568447,76341.09196348989,76341.0811568447,-55.63103352127375,2.0263939301765275,9.308879732695859,2240.9657154263737,0.022976066288351842,9.734179488921662,0.0023200560431292762,32.443435816555656,32.490940636731075,32.443435816555656,0.30257388516840145,19.668828629645045,-0.9015893415658846,-32.06681188679093,0.13746454634368843,9.747912606469418,0.03440674350652719,74112.35594979774,74112.35653053259,74112.35594979774,-55.55124395241847,2.026664319530479,9.277890772646579,-7568690.107063052,0.332957378398402,-6.399588679388667e-08,7568698.627724663,0.33295738698171595,,,,,,,,,,,,,
7,120.53935056893532,130.24573420896195,108241.07,108511.68,43.810042081334345,25.350009775825004,108367.0953319055,107758.95512747507,4.669175601979758,0.16189365537613687,68.06704043267251,0.46570833267616224,0.29823185480960096,0.16747647786656128,10.630605857693592,8.308502395916257,108345.03842748395,56.19500163906993,1.314033785752731,10.790053987158773,10.630607558096406,0.030702850708996355,0.384200189201784,0.20766041187144346,12.75452610936359,0.463174152618146,10.604581434661084,8.157324431951293,108344.46238117054,56.560846401156496,1.3964383528028559,1.1382124635075408,10.357006812166068,0.03179998208993379,0.3861909801381726,0.21016865268097654,12.780898285289142,1.0719663485892748,10.571063803002604,0.07531572679839599,94572.51933999223,94572.52532740976,94572.51933999223,-56.805927871052745,1.3186953380956141,10.189166948729689,13775.335351662432,0.007295394481768701,10.571052860487015,0.0014660484952874755,66.32617989413639,66.3459727944905,-66.32617989413639,-0.20991821444614323,12.799765937412634,-0.5021590200169237,66.72078762512842,0.061857453359532744,15.888677725110359,0.12078970205674515,108516.37926386301,108546.77625300786,108516.37926386301,-5.32303754641322,-19.055710965159907,2568.6701578304073,-12136981.547080169,0.22146233569576013,0.033863302799297806,12136765.486101395,0.22146585243908043,,,,,,,,,,,,,
8,120.5397940620678,130.24611752841156,49759.3,49851.746,7.863648510798692,2.096456148970991,49780.772565598265,49801.2652703622,-0.1700077963745396,0.08506207419249026,41.68558887581769,0.2322714406060454,0.2322714406060454,-0.017849887106112173,8.183950804890479,1.7128686094318006,49780.77864824285,4.234499611284375,0.9394701192843438,31.034681437046427,8.183938411923366,0.018527640460877723,0.23233763368520713,0.045806731679427434,9.119431257611549,2.6145389065209765,8.248443739191497,1.6799406948456221,49780.06641080213,3.817062654706297,0.6826067281342412,2.893075650544098,8.179655600843187,0.019544874993092515,0.22923341441634146,0.04496239388651718,7.8113298136043365,0.33621026779428353,8.145679448983032,0.009605360129078056,49858.80361392908,49858.803662389386,49858.80361392908,-9.626316372254065,0.6959308840414185,-0.6086689432627816,-83.6913494402192,0.12976142590183606,,,,,,,,,,,8.148031631839753,0.009601190102340408,49880.64601489505,49880.64635244547,49880.64601489505,-12.031894650227198,0.6445651870126586,5.802970424611203,3801349.1686760057,0.11071708507185288,9.420703746207743e-05,-3801451.470990967,0.11071775078876618,8.042176674376758,0.005748129750875845,0.26846733261760614,9.352641950362663,0.26846733261760614,0.0332128918641818,18.593932592533655,-9.110716578764997,68.76173237782812,6.044238718293627,-1.4832170831623244,-68.75833023803736,6.04022825448121
9,131.5130129692552,164.9844477869192,39371.547,39712.676,59.428838394343906,153.43724553912753,39567.56626528341,39658.7072636184,-0.6930188600903007,0.17421221413114535,90.51423680749875,0.5746191771541272,0.5746191771541272,-0.0679987207271274,15.206322642219455,18.577077743617437,39553.35451934111,72.59716661609453,0.7796902819585741,3.6540937156335334,15.206343577507935,0.054457536505151775,0.5329581648971745,0.21281438059931487,26.097397660094675,0.6206316275677983,14.947374780065967,17.61396297591295,39555.183532005125,67.11134020394258,0.8137883746407029,3.0219182546569923,15.130830601508269,0.054764572476599827,0.533087752266029,0.20400247840303043,26.43750284933391,0.7809426237374815,13.459943710880125,0.39182989359611375,39555.559429759196,39555.65574000614,39555.559429759196,4561.046742067533,0.7284069711145816,10.588572473452068,4518.950531414804,0.7272642461927808,14.995837456833472,0.0001941467050629942,786.4375122050985,786.5147855310947,-786.4375122050985,0.21399823520000769,26.061622496503254,-0.579513131298941,787.0003256761877,0.030972764331492316,6.280423761649748,0.09123863800630287,39548.3693504146,39548.39148909368,39548.3693504146,72.32474335726359,0.772269059000008,4.824701439405419,-2085615.0241243632,0.3167106192073961,-29.392243430455306,2085671.53678396,0.31671215824824617,6.280340207576771,0.0062977488746636945,0.5183476296461264,4.923625076940426,0.5183476296461264,0.2120196418427427,25.848847299012018,-0.42598161199801055,-279.0079263678104,10.602031674375343,-3.4490932902060907,278.8422594916181,10.600902868676064
10,120.5391465105713,130.24539527622983,501461.62,501746.75,56.83999072592609,9.12343068496419,501647.15024234285,500429.0379395021,9.352440447183191,0.19934763345115067,85.86926810779167,0.650686502096885,0.33231553605905906,0.318370966037826,9.965853882718797,6.283782500977212,501590.88227178814,93.19744004116123,0.5844838907765331,62.823445447820674,9.965854603276924,0.022038321967438,0.453345282794736,0.3268592392619813,5.673149251455088,1.7950375828483287,,,,,,,9.852169511552088,0.02086007654296695,0.4304217156247061,0.3445961041470939,5.451097854255418,3.200339918315183,9.647140680423934,0.013368994735663069,501564.9554504429,501564.96538046456,501564.9554504429,-111.55329611241497,0.4703610219130808,-48.3914108571337,13.796787047728994,-1.082117109601942,9.647139840523934,0.01207458077587989,0.3624284424806694,6.8307447294536185,0.3624284424806694,0.048384992334737136,10.503089357531742,-5.326550347764867,-0.39122556334712905,4.565570640430132,,,,,,,,,,,,,,,,,,,,,,,,,,
